NEnr;ID_Source;ID_Finance;IDTFinance;Provenance;DateDebut;DateFin;MontantPrevu;MontantRealise;Observation
785;785;470;RECETTES;CAC;01/01/2009;31/12/2009;28 718 703,000000;28 718 703,000000;
274;274;65;RECETTES;CAC;01/01/2010;31/12/2010;188 199 431,000000;183 122 553,000000;
530;530;252;RECETTES;CAC;01/01/2010;31/12/2010;11 888 949,000000;11 888 949,000000;
786;786;471;RECETTES;CAC;01/01/2010;31/12/2010;52 681 393,000000;52 681 393,000000;
531;531;253;RECETTES;CAC;01/01/2011;31/12/2011;22 242 307,000000;22 242 307,000000;
787;787;472;RECETTES;CAC;01/01/2011;31/12/2011;78 701 390,000000;78 701 390,000000;
532;532;254;RECETTES;CAC;01/01/2012;30/06/2012;18 966 594,000000;18 966 594,000000;
788;788;473;RECETTES;CAC;01/01/2012;31/12/2012;47 859 284,000000;47 859 284,000000;
533;533;255;RECETTES;CAC;01/01/2007;31/12/2007;14 450 547,000000;14 450 547,000000;
789;789;474;RECETTES;CAC;01/01/2007;31/12/2007;19 267 397,000000;19 267 397,000000;
534;534;256;RECETTES;CAC;01/01/2008;31/12/2008;10 943 610,000000;10 943 610,000000;
790;790;475;RECETTES;CAC;01/01/2008;31/12/2008;14 591 481,000000;14 591 481,000000;
535;535;257;RECETTES;CAC;01/01/2009;31/12/2009;11 893 444,000000;11 893 444,000000;
791;791;476;RECETTES;CAC;01/01/2009;31/12/2009;15 857 925,000000;15 857 925,000000;
536;536;258;RECETTES;CAC;01/01/2010;31/12/2010;21 817 252,000000;21 817 250,000000;
792;792;477;RECETTES;CAC;01/01/2010;31/12/2010;29 089 670,000000;29 089 670,000000;
537;537;259;RECETTES;CAC;01/01/2011;31/12/2011;27 362 775,000000;27 362 775,000000;
793;793;478;RECETTES;CAC;01/01/2011;31/12/2011;30 226 022,000000;30 226 022,000000;
538;538;260;RECETTES;CAC;01/01/2012;30/06/2012;21 586 971,000000;21 586 971,000000;
794;794;479;RECETTES;CAC;01/01/2012;30/06/2012;23 052 224,000000;23 052 224,000000;
539;539;261;RECETTES;CAC;01/01/2007;31/12/2007;130 162 475,000000;130 162 475,000000;
795;795;480;RECETTES;CAC;01/01/2007;31/12/2007;29 810 515,000000;29 810 515,000000;
540;540;262;RECETTES;CAC;01/01/2008;31/12/2008;101 617 255,000000;101 617 255,000000;
796;796;481;RECETTES;CAC;01/01/2008;31/12/2008;22 575 938,000000;22 575 938,000000;
541;541;263;RECETTES;CAC;01/01/2009;31/12/2009;26 254 380,000000;26 254 380,000000;
797;797;482;RECETTES;CAC;01/01/2009;31/12/2009;24 535 382,000000;24 535 382,000000;
286;286;77;RECETTES;CAC;01/01/2011;31/12/2011;330 000 000,000000;211 508 742,000000;
542;542;264;RECETTES;CAC;01/01/2010;31/12/2010;48 160 858,000000;48 160 858,000000;
798;798;483;RECETTES;CAC;01/01/2010;31/12/2010;45 007 538,000000;45 007 538,000000;
543;543;265;RECETTES;CAC;01/01/2011;31/12/2011;57 815 506,000000;57 815 506,000000;
799;799;484;RECETTES;CAC;01/01/2011;31/12/2011;47 280 339,000000;47 280 339,000000;
544;544;266;RECETTES;CAC;01/01/2012;30/06/2012;37 171 024,000000;37 171 024,000000;
800;800;485;RECETTES;CAC;01/01/2012;30/06/2012;31 779 698,000000;31 779 698,000000;
545;545;267;RECETTES;CAC;01/01/2007;31/12/2007;19 072 796,000000;19 072 796,000000;
801;801;44;RECETTES;CAC;01/01/2007;31/12/2007;37 047 350,000000;37 047 350,000000;
546;546;268;RECETTES;CAC;01/01/2008;31/12/2008;14 444 106,000000;14 444 106,000000;
802;802;57;RECETTES;CAC;01/01/2008;31/12/2008;28 056 496,000000;28 056 496,000000;
547;547;269;RECETTES;CAC;01/01/2009;31/12/2009;15 697 760,000000;15 697 760,000000;
803;803;58;RECETTES;CAC;01/01/2009;31/12/2009;30 491 619,000000;30 491 619,000000;
548;548;270;RECETTES;CAC;01/01/2010;31/12/2010;28 795 865,000000;28 795 865,000000;
804;804;487;RECETTES;CAC;01/01/2010;31/12/2010;55 933 618,000000;55 933 618,000000;
549;549;271;RECETTES;CAC;01/01/2011;31/12/2011;36 582 692,000000;36 582 692,000000;
805;805;488;RECETTES;CAC;01/01/2011;31/12/2011;56 122 589,000000;56 122 589,000000;
550;550;272;RECETTES;CAC;01/01/2012;30/06/2012;26 305 223,000000;26 305 223,000000;
806;806;489;RECETTES;CAC;01/01/2012;30/06/2012;36 304 681,000000;36 304 681,000000;
551;551;273;RECETTES;CAC;01/01/2007;31/12/2007;62 118 085,000000;62 118 085,000000;
807;807;490;RECETTES;CAC;01/01/2007;31/12/2007;32 754 574,000000;32 754 574,000000;
552;552;274;RECETTES;CAC;01/01/2008;31/12/2008;47 042 932,000000;47 042 932,000000;
808;808;491;RECETTES;CAC;01/01/2008;31/12/2008;24 805 518,000000;24 805 518,000000;
553;553;275;RECETTES;CAC;01/01/2009;31/12/2009;51 125 951,000000;51 125 951,000000;
809;809;492;RECETTES;CAC;01/01/2009;31/12/2009;26 958 473,000000;26 958 473,000000;
554;554;276;RECETTES;CAC;01/01/2010;31/12/2010;93 785 097,000000;93 785 097,000000;
810;810;493;RECETTES;CAC;01/01/2010;31/12/2010;49 452 439,000000;49 452 439,000000;
299;299;78;RECETTES;CAC;01/01/2012;31/12/2012;280 000 000,000000;234 299 987,000000;
555;555;277;RECETTES;CAC;01/01/2011;31/12/2011;77 001 888,000000;77 001 888,000000;
811;811;494;RECETTES;CAC;01/01/2011;31/12/2011;42 109 370,000000;42 109 370,000000;
556;556;278;RECETTES;CAC;01/01/2012;30/06/2012;46 989 570,000000;46 989 570,000000;
