Enr;CodeS_Localite;Code_Commune;Code_Localite;Libelle;MASCULIN;FEMININ;TOTAL;Chefferie;PNombreMenage;PHomme;PFemme;PNombrePersHandicape;PEnfants_5ans;PEnfants_15ans;PPopulations;IEEcoleMaternelle;IEEcolePrimaire;IEEColeSecondaire;IEEColeTechnique;IHForage;IHPuits;IHAdductionEau;IHAutres;IHAutresDetails;ICSCSI;ICSCMA;ICSHopital;ICSPrivee;ICSAutres;ICSAutresDetails;ISEPFoyers;ISEPCentreFemme;ISEPCentreMultifonctionnel;ISEPCentreSociaux;ISEPAutres;ISEPAutresDetails;EPMMagasins;EPMMarches;EPMAbbatoir;EPMGareRoutiere;EPMParceBetail;ACElectrification;ACTelephone;AVRouteBitumee;AVRouteEnTerreAmenage;AVPiste;ERAccessibleTouteSaison;ERInaccessibleEnSaisonDePluie;ERInaccessibleEnTouteSaison;ONombreQuartier;OExistenceComiteDeveloppement;Accessible
42;100101028;100101;100101041;KASSA;366;362;728;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;100101028;100101;100101042;MAGBOR;370;386;756;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;100101028;100101;100101043;MBARNANG;359;372;731;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;100101028;100101;100101044;SACKMASSA;430;491;921;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;;100102;100102000;TIBATI VILLE;11418;11451;22869;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;100102000;100102;100102001;CENTRE COMMERCIAL;204;190;394;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;100102000;100102;100102002;FADA;901;1009;1910;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;100102000;100102;100102003;MALARBA 1;1320;1302;2622;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;100102000;100102;100102004;MALARBA 2;1011;1136;2147;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;100102000;100102;100102005;MENG;304;274;578;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;100102000;100102;100102006;NGAOUBELA;527;552;1079;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;100102000;100102;100102007;PANYERE 1;1054;1105;2159;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;100102000;100102;100102008;PANYERE 2;270;311;581;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
